week_ending,player_id,overall_mean,overall_sd,hard_mean,hard_sd,clay_mean,clay_sd,grass_mean,grass_sd
2026-02-15,lI6fOOat,2.906674211,0.1531605138,2.950582152,0.1410868505,3.033519452,0.1688841744,2.735921029,0.1802435777
2026-02-15,KdojxrAR,2.761598484,0.1671306995,2.881349303,0.1629592273,2.73035756,0.1744279332,2.673088589,0.1782492607
2026-02-22,vyhksgUB,3.755685151,0.1784798639,3.870755443,0.1745288269,3.741419521,0.1846286592,3.65488049,0.1888866452
2026-02-22,jNyZsXZe,3.734041148,0.1560692999,3.754937192,0.1517959951,3.998434212,0.1622984378,3.448752039,0.1678543524
2026-02-22,UDzElXdm,3.53239214,0.1427275464,3.547438563,0.1376282472,3.479837606,0.1510761419,3.569900251,0.154627054
2026-02-22,lI6fOOat,2.93907875,0.1468438821,2.983034249,0.1341701703,3.065949014,0.1631830765,2.768252986,0.1749273786
2026-02-22,KdojxrAR,2.93835665,0.1231594087,3.058155931,0.1174200809,2.907059625,0.1328995098,2.849854396,0.1378785675
2026-02-22,f5BXmEH6,2.915942584,0.129492816,2.957279709,0.1234525583,2.844420607,0.1388756547,2.946127437,0.1441479765
2026-03-01,vyhksgUB,3.738048339,0.1929464151,3.853082562,0.1892963046,3.723794512,0.1986487707,3.637267941,0.202611831
2026-03-01,jNyZsXZe,3.704877839,0.1723168401,3.725735169,0.1684549182,3.969275248,0.1779791118,3.419623101,0.1830591713
2026-03-01,UDzElXdm,3.516471637,0.1597766497,3.531440866,0.1552370554,3.463918826,0.1672773679,3.55405522,0.1704906064
2026-03-01,KdojxrAR,2.932469319,0.1430462393,3.052221438,0.138133231,2.901185862,0.1515142817,2.844000656,0.1559000956
2026-03-01,lI6fOOat,2.925073171,0.1640207771,2.968764859,0.1527741864,3.051939424,0.178798479,2.75451523,0.1895787595
2026-03-01,f5BXmEH6,2.899368487,0.1487507017,2.940681415,0.1435210097,2.827851382,0.156987922,2.929572665,0.1616702582
2026-03-08,vyhksgUB,3.725124178,0.1535528956,3.840077997,0.1489304714,3.710917408,0.1606612105,3.624377128,0.1655420908
2026-03-08,jNyZsXZe,3.554442247,0.1631313784,3.575236098,0.1590439346,3.818883562,0.1691022085,3.269207081,0.1744419994
2026-03-08,UDzElXdm,3.494422241,0.155527757,3.509279905,0.1508589109,3.441903679,0.163225187,3.532083139,0.1665153015
2026-03-08,KdojxrAR,2.980592622,0.145741692,3.100178852,0.1409201064,2.949411996,0.1540630606,2.892187018,0.1583778012
2026-03-08,f5BXmEH6,2.978193375,0.1378406639,3.019439176,0.1321771617,2.906728437,0.1466930271,3.008412512,0.1516935854
2026-03-08,lI6fOOat,2.940097207,0.161215239,2.983631317,0.1497467669,3.067076086,0.1762287468,2.769584219,0.1871654031
2026-03-15,vyhksgUB,3.693179942,0.1252962075,3.808127643,0.1195817428,3.678973179,0.1339132176,3.592439004,0.1397350855
2026-03-15,jNyZsXZe,3.455528045,0.1399432495,3.476314928,0.1351531051,3.719970538,0.1468599439,3.170298669,0.1529808339
2026-03-15,UDzElXdm,3.447175049,0.1218156905,3.462029197,0.1157965614,3.394657491,0.1315013827,3.48483846,0.1355628959
2026-03-15,lI6fOOat,3.010271465,0.1635160377,3.053815914,0.1522163139,3.137247766,0.1783362593,2.839750716,0.1891542992
2026-03-15,f5BXmEH6,2.982333093,0.1554517775,3.023575868,0.1504525445,2.910870818,0.1633526108,3.012552592,0.1678575766
2026-03-15,KdojxrAR,2.89577554,0.1338095115,3.015357928,0.1285401153,2.864600665,0.1428275746,2.807368026,0.1474726654
2026-03-22,vyhksgUB,3.733732427,0.1265444013,3.848629594,0.1208838616,3.719627302,0.1350829997,3.632940384,0.1408585751
2026-03-22,jNyZsXZe,3.607749198,0.1443396791,3.628501142,0.1396956597,3.872296513,0.151056803,3.322449939,0.1570152288
2026-03-22,UDzElXdm,3.442898118,0.1264019449,3.457694547,0.1206077502,3.390456275,0.1357624716,3.480543531,0.13970052
2026-03-22,KdojxrAR,3.001676536,0.1302904995,3.121161776,0.1248684432,2.97060075,0.139537748,2.913267083,0.1442893894
2026-03-22,lI6fOOat,2.999888431,0.1500625002,3.043556011,0.1376496617,3.126793343,0.1660908973,2.82931594,0.177660026
2026-03-22,f5BXmEH6,2.831825565,0.1411993038,2.872994467,0.1356708642,2.76042047,0.1498560398,2.862061756,0.1547538364
2026-03-29,vyhksgUB,3.67269795,0.1209188166,3.787579478,0.1149837956,3.658639624,0.1298238364,3.571874747,0.135827866
2026-03-29,jNyZsXZe,3.615945584,0.1616619626,3.636632352,0.1575316907,3.880594491,0.1676828306,3.330609908,0.1730741522
2026-03-29,UDzElXdm,3.467448875,0.1270667972,3.48223243,0.1213055303,3.414858748,0.1363777467,3.505255446,0.1403039605
2026-03-29,KdojxrAR,2.980180603,0.1345558755,3.099755374,0.1293170835,2.949112871,0.1435237863,2.891673565,0.1481518933
2026-03-29,lI6fOOat,2.934270109,0.1565797799,2.978044396,0.1447252791,3.061012164,0.171999595,2.763753766,0.1832006468
2026-03-29,f5BXmEH6,2.755414663,0.1252881927,2.796583271,0.1190258566,2.684124484,0.1349637845,2.785536235,0.1403890246
2026-04-05,vyhksgUB,3.652706554,0.1411372556,3.768291447,0.1361077702,3.63800233,0.1488123995,3.551825886,0.1541046241
2026-04-05,jNyZsXZe,3.602107978,0.1773539172,3.623342816,0.1736030959,3.866548772,0.1828482091,3.316432345,0.187817861
2026-04-05,UDzElXdm,3.42791436,0.1461398866,3.443078532,0.1411830116,3.374552442,0.1542831796,3.466112108,0.1577803202
2026-04-05,lI6fOOat,2.936912101,0.1713854918,2.980515674,0.1606682905,3.063191989,0.185550539,2.767028639,0.1959952745
2026-04-05,KdojxrAR,2.838534979,0.1120737715,2.967682213,0.1146337725,2.797834631,0.1131621551,2.750088093,0.1283853175
2026-04-05,f5BXmEH6,2.741518546,0.1445128817,2.783222063,0.1391395571,2.669834405,0.1529541559,2.771499172,0.1577852219
2026-04-12,vyhksgUB,3.660670544,0.1589165934,3.776119398,0.1544702484,3.64590073,0.1657624047,3.559991503,0.1705415652
2026-04-12,jNyZsXZe,3.615779846,0.1918555999,3.636781648,0.1883961379,3.880233836,0.1969402725,3.330324056,0.2015706265
2026-04-12,UDzElXdm,3.441781196,0.1634551208,3.456645073,0.1590420228,3.388265007,0.1707672385,3.480433507,0.1739442113
2026-04-12,KdojxrAR,2.853686575,0.1337731455,2.982869546,0.1359256657,2.812550714,0.1346766662,2.765639465,0.1477129541
2026-04-12,lI6fOOat,2.8346355,0.1347066767,2.877853623,0.1207422345,2.960976501,0.1523251745,2.665076377,0.1649066512
2026-04-12,f5BXmEH6,2.746596783,0.1618020043,2.788031097,0.1570236309,2.674903838,0.1693788094,2.776855414,0.1737609424
2026-04-19,vyhksgUB,3.67004465,0.1746199927,3.785657805,0.1705990365,3.655249826,0.1808598953,3.569226319,0.1852581201
2026-04-19,jNyZsXZe,3.461232151,0.1536903259,3.488841718,0.1547010047,3.719679995,0.1550698405,3.175174741,0.1652195495
2026-04-19,UDzElXdm,3.405221358,0.1216090703,3.423420583,0.1251518399,3.348689501,0.1223523384,3.44355399,0.1346839478
2026-04-19,f5BXmEH6,2.99603455,0.1422483912,3.019425959,0.1426979842,2.940856664,0.1452409985,3.027821029,0.1553148239
2026-04-19,KdojxrAR,2.859628569,0.1520464969,2.987496854,0.1540287959,2.819904976,0.1527390772,2.771483876,0.1644465881
2026-04-19,lI6fOOat,2.825912697,0.1180743817,2.872741663,0.1196537584,2.949507953,0.1224953952,2.655488475,0.1487553796
2026-04-26,vyhksgUB,3.82907316,0.1476724121,3.93604193,0.1482999525,3.822254286,0.1499643725,3.728923263,0.1597189796
2026-04-26,jNyZsXZe,3.502028413,0.1531740619,3.526921818,0.1554752794,3.762835463,0.1533240289,3.216327958,0.1646377989
2026-04-26,UDzElXdm,3.495006446,0.1242476482,3.509313248,0.1293812001,3.44171669,0.123306765,3.533989401,0.1369466838
2026-04-26,f5BXmEH6,3.062626968,0.1324569995,3.083606217,0.136061167,3.010031315,0.1326151317,3.094243373,0.1461759432
2026-04-26,lI6fOOat,2.90178462,0.1226097329,2.932834321,0.1286280005,3.038316024,0.1225287985,2.734203515,0.1516056803
2026-04-26,KdojxrAR,2.844418411,0.1363164019,2.972473787,0.1406197512,2.804120251,0.1347826003,2.756661195,0.1500892584
2026-05-03,vyhksgUB,3.753546366,0.142019666,3.864135442,0.1450898209,3.743399534,0.1420580877,3.653104122,0.154320013
2026-05-03,jNyZsXZe,3.473262534,0.1696774196,3.499505602,0.1717842421,3.73281838,0.1697876625,3.187463621,0.1800908703
2026-05-03,UDzElXdm,3.434493247,0.1368623186,3.451596185,0.1421140186,3.378589859,0.1354335176,3.473293698,0.1484414485
2026-05-03,f5BXmEH6,2.987343638,0.1425609089,3.011794128,0.1467360033,2.931465424,0.1418891533,3.018771361,0.1553331103
2026-05-03,KdojxrAR,2.872749163,0.1537568361,2.999870577,0.157657029,2.833481435,0.1523186528,2.784895476,0.1660919361
2026-05-03,lI6fOOat,2.69335344,0.1196334454,2.746450439,0.1302559267,2.811841365,0.1152170384,2.521768516,0.1484408697
2026-05-10,vyhksgUB,3.747010355,0.135770326,3.858051154,0.1405425544,3.736256587,0.1342712148,3.646723324,0.148469187
2026-05-10,UDzElXdm,3.544551223,0.1309353248,3.558365643,0.1374758495,3.491567376,0.1283726488,3.583720649,0.1429178148
2026-05-10,jNyZsXZe,3.316737749,0.1426170029,3.346125587,0.1470587226,3.573421747,0.1408902853,3.030665913,0.1546928456
2026-05-10,f5BXmEH6,3.008364859,0.1351987805,3.031462033,0.1410821503,2.953553365,0.1330164781,3.040079178,0.1484842388
