entropy_percentile,expected_standing_points
68.130990,92.367188
68.290735,93.554688
68.450479,93.398438
68.450479,94.593750
68.530351,93.195312
68.690096,93.601562
68.690096,93.031250
68.849840,94.890625
69.009585,92.796875
69.249201,94.195312
69.329073,92.875000
69.808307,93.312500
69.888179,93.515625
69.888179,93.742188
70.047923,94.796875
70.127796,94.625000
70.207668,94.023438
70.287540,92.796875
70.367412,95.156250
70.527157,92.312500
70.686901,90.976562
70.926518,93.742188
71.006390,95.023438
71.166134,94.007812
71.246006,92.992188
71.325879,93.312500
71.405751,93.617188
71.485623,92.289062
71.805112,93.218750
71.884984,94.367188
72.204473,94.460938
72.444089,94.265625
72.923323,92.968750
72.923323,93.453125
73.003195,93.773438
73.003195,93.875000
73.003195,91.632812
73.722045,93.984375
74.201278,93.320312
74.440895,93.726562
74.440895,93.773438
74.520767,94.234375
74.920128,93.476562
75.079872,92.953125
75.559105,95.414062
75.718850,93.945312
75.798722,94.796875
75.878594,93.078125
76.038339,93.476562
76.118211,93.718750
76.198083,94.531250
76.517572,93.007812
76.757188,94.039062
77.076677,92.601562
77.476038,93.109375
77.875399,93.406250
77.955272,94.312500
78.194888,94.804688
78.194888,93.226562
78.274760,95.000000
78.674121,93.421875
78.833866,92.406250
78.993610,94.875000
78.993610,93.804688
79.233227,94.601562
79.392971,94.054688
79.632588,92.992188
79.712460,91.804688
80.031949,94.460938
80.191693,93.828125
80.271565,94.281250
80.591054,93.054688
80.830671,92.960938
80.830671,93.445312
81.070288,94.289062
81.070288,92.218750
81.309904,92.789062
81.469649,94.531250
81.549521,94.625000
81.629393,93.390625
81.789137,94.007812
81.869010,94.421875
82.028754,93.039062
82.108626,94.164062
82.667732,93.773438
82.667732,91.656250
82.747604,94.242188
83.067093,92.507812
83.067093,93.453125
83.146965,93.898438
83.146965,94.757812
83.706070,94.476562
83.865815,92.789062
83.945687,92.703125
84.185304,94.078125
85.063898,93.234375
85.063898,93.960938
85.063898,93.750000
85.143770,92.437500
85.463259,92.828125
86.421725,93.960938
86.501597,94.585938
86.661342,93.367188
86.821086,94.367188
86.980831,93.804688
86.980831,94.062500
87.380192,92.703125
87.460064,93.156250
87.539936,92.507812
88.019169,94.062500
88.418530,94.523438
88.418530,92.437500
88.498403,93.679688
88.738019,93.375000
88.977636,94.250000
89.376997,92.921875
89.456869,92.562500
89.536741,93.609375
89.536741,94.296875
89.856230,94.500000
89.936102,94.101562
90.495208,91.820312
90.974441,93.265625
91.054313,93.945312
91.054313,94.585938
91.134185,94.140625
91.293930,94.210938
91.373802,94.367188
91.693291,93.937500
91.693291,93.125000
91.853035,93.421875
92.092652,92.460938
92.332268,93.882812
92.332268,93.671875
92.412141,94.101562
92.571885,94.000000
92.811502,95.015625
93.130990,92.921875
93.210863,95.437500
93.370607,95.218750
93.530351,93.812500
93.610224,94.125000
93.610224,94.335938
93.690096,92.687500
93.929712,94.804688
93.929712,90.773438
94.089457,93.968750
94.329073,93.234375
94.648562,93.085938
94.648562,93.757812
94.968051,92.156250
95.287540,94.031250
95.287540,93.289062
95.287540,94.617188
95.527157,93.046875
95.527157,92.828125
95.846645,94.164062
95.926518,93.875000
96.006390,94.523438
96.246006,93.953125
96.565495,93.171875
96.565495,93.585938
96.645367,93.750000
96.725240,92.937500
96.884984,95.257812
96.964856,94.226562
97.124601,93.398438
97.284345,93.226562
97.603834,93.898438
97.603834,94.585938
97.843450,93.562500
98.242812,93.781250
98.242812,93.679688
98.482428,92.250000
98.642173,93.500000
98.801917,93.031250
99.201278,94.039062
99.840256,93.703125
