match_id,match_date,player_1_won,probability_peak_22,probability_peak_24,probability_peak_26,probability_peak_28
Y7aUYsGq,2024-01-05,1,0.831211811,0.8314797826,0.8303459322,0.8303852596
QPtGMYRC,2024-01-05,1,0.5047243592,0.5000588622,0.5005615784,0.5004060074
rw9OWIkK,2024-01-05,1,0.8348035298,0.8449359099,0.8607036365,0.8716020501
WE5ZRT3h,2024-01-05,0,0.1782723356,0.1754880653,0.1715819492,0.1708816324
EwBUS9ln,2024-01-05,1,0.6616678141,0.667409193,0.6678332964,0.6670757976
r1iBNEC6,2024-01-05,0,0.5178734502,0.5144734784,0.5004163368,0.5004098541
OAaJLhsJ,2024-01-05,0,0.07138190383,0.06792865841,0.06367409876,0.0724606378
rk7LKtX5,2024-01-05,0,0.352174259,0.363672282,0.366003167,0.3656451318
4Ah7Ofc0,2024-01-05,1,0.4392823524,0.4420958116,0.4213233157,0.4248791178
zmCQTkZu,2024-01-05,0,0.111765259,0.1167678477,0.1199823389,0.1190636542
jaAFVbtG,2024-01-06,0,0.17011116,0.1699826376,0.1708906059,0.1759973181
jZYAVcoO,2024-01-06,1,0.821983346,0.8201382659,0.824281408,0.8240754446
CY4DNOQs,2024-01-06,1,0.702697448,0.70474752,0.6940566158,0.6944228028
j3Mftzxo,2024-01-06,0,0.05747454157,0.04973829925,0.05016986522,0.07422404996
p27x1SJR,2024-01-06,1,0.5350406219,0.5349580754,0.5392741094,0.541697942
fmaLuw5G,2024-01-06,0,0.4169587724,0.4116273526,0.4085404901,0.4116301224
d0gbNzld,2024-01-06,1,0.4504744136,0.4492085385,0.4610055805,0.4629377654
b5XtnKQd,2024-01-06,0,0.422364871,0.4246514762,0.4174783363,0.431531147
vLS1sduS,2024-01-06,1,0.7744789325,0.7785330275,0.7754894818,0.7749555402
CtHesKG1,2024-01-06,0,0.6197237571,0.6177244391,0.6203951755,0.6216171208
IHdLGWc7,2024-01-07,0,0.4841132012,0.4865195636,0.4891290828,0.4921339348
fyJsA5dr,2024-01-07,0,0.6210357593,0.6185605147,0.6188470896,0.6210103448
pjqEIhTf,2024-01-07,1,0.3912735846,0.3919688831,0.3921414877,0.3913506311
tjEsTp3K,2024-01-07,1,0.428233091,0.4257766353,0.4281615401,0.4319700548
0fye5sBD,2024-01-08,0,0.5607429098,0.5556608531,0.5661090911,0.5656226999
hUXn73t1,2024-01-08,1,0.5329900892,0.534495261,0.5254771729,0.5264289001
Wr3wPfjR,2024-01-08,1,0.419354892,0.4201805792,0.4243979712,0.4255042571
YRHo9PBl,2024-01-08,0,0.4798333807,0.479349041,0.4626956016,0.4876702377
APIoS4IQ,2024-01-08,0,0.3749077786,0.3751507677,0.366240351,0.3799159346
lOk5KEbr,2024-01-08,1,0.5893310295,0.5622734391,0.568779317,0.5691110095
2Rg9JYDl,2024-01-08,1,0.605126703,0.6025724326,0.5969092511,0.5870457668
tECPEKDM,2024-01-08,1,0.3845128175,0.3846611136,0.3938019025,0.3906568153
OtrIHCr1,2024-01-08,1,0.7137972507,0.7132750538,0.7206330271,0.7212487062
hh4ZPzyL,2024-01-09,1,0.3760025957,0.3755611535,0.383829366,0.3655365684
niXj6Ne7,2024-01-09,0,0.3894974504,0.378358425,0.3817686129,0.3813495322
2aFwUQmE,2024-01-09,0,0.3770772202,0.3780242242,0.3787130423,0.3825750398
ULPS6iu1,2024-01-09,0,0.566072957,0.567272749,0.5632122826,0.5668549496
zT3CEpat,2024-01-09,1,0.425846873,0.4116881851,0.4127768461,0.4139458772
2k8EFdKu,2024-01-09,1,0.7412475837,0.7417830374,0.7393465849,0.7396124797
Or7S0PCA,2024-01-09,1,0.5408468227,0.5419527923,0.5346807461,0.5288381848
nZZvPTNs,2024-01-09,1,0.3796490427,0.3681841987,0.3751104172,0.3779718414
xt8t7TWa,2024-01-10,0,0.3741243612,0.3659417654,0.3723159512,0.3768919455
l4qDCMBM,2024-01-10,1,0.3056926379,0.3112118935,0.3038241583,0.3003777112
tKgdsDSl,2024-01-10,0,0.6235452244,0.6197695258,0.6240069323,0.6248473381
C4iamzyJ,2024-01-10,1,0.764632653,0.7615638337,0.7646866705,0.7675467987
rcg2Xubm,2024-01-10,0,0.3156190667,0.308162941,0.3125433535,0.3133159437
EX5oC2JH,2024-01-11,0,0.5740434743,0.5704220452,0.5710316537,0.5727754083
ChTJlibJ,2024-01-11,0,0.5974370373,0.6001969686,0.5968033167,0.5943898016
QaL17wBT,2024-01-11,1,0.7189738776,0.7170575886,0.7148150218,0.717002978
GfXgfRb1,2024-01-12,0,0.3574393511,0.3542151099,0.3587941133,0.3589056939
pxpVo3Bs,2024-01-12,0,0.5785926722,0.5743401673,0.5755442564,0.5770893247
OCjK09s1,2024-01-13,1,0.5842310031,0.5862795102,0.5766960241,0.5745851654
S4sJfsFA,2024-01-13,1,0.5413218871,0.5639539678,0.5614326727,0.5621395581
8WtnTxrl,2024-01-13,1,0.7242014849,0.7295563434,0.7355133364,0.7396476026
YsrFeNa4,2024-01-13,0,0.2140219342,0.2140734191,0.2235927675,0.2120651002
Kb8urJme,2024-01-13,0,0.5348568069,0.5362787885,0.5378336911,0.540115787
MR2h9tU3,2024-01-13,1,0.4605841402,0.4597467876,0.4515465836,0.4513554003
fmqbQzS6,2024-01-13,1,0.652930719,0.6776567898,0.6775846563,0.6772424956
UVtXByDD,2024-01-13,0,0.6077175412,0.6122200023,0.6168682913,0.6200732029
WzapLujR,2024-01-13,0,0.4742360884,0.4702084914,0.4700112669,0.4716781728
2NZViuaT,2024-01-13,1,0.8425459236,0.8408553056,0.839506693,0.8392438043
6etNg1UG,2024-01-13,1,0.2762026755,0.2712095262,0.269111774,0.2684872885
xCY2PfsD,2024-01-14,0,0.5483678595,0.5500146956,0.5560974708,0.5702895897
0jkGFJDl,2024-01-14,1,0.6908398344,0.6933670983,0.702550596,0.7043028561
