week_ending,player_id,overall_mean,overall_sd,hard_mean,hard_sd,clay_mean,clay_sd,grass_mean,grass_sd
2025-01-05,jNyZsXZe,4.018996435,0.3228836826,3.986327185,0.3215280585,4.292501919,0.3255350262,3.778160201,0.3298020546
2025-01-05,vyhksgUB,3.465206338,0.1353559986,3.586360972,0.1292654705,3.41353263,0.1444028285,3.395725412,0.1513898004
2025-01-05,UDzElXdm,2.865517998,0.3510662762,2.880773662,0.3523374232,2.831359734,0.3546243881,2.884420597,0.3536655551
2025-01-05,f5BXmEH6,2.824667457,0.2869632396,2.880068612,0.2844204766,2.740059316,0.2918290356,2.853874441,0.2942292924
2025-01-05,KdojxrAR,2.628234642,0.2962626378,2.78028582,0.2936500647,2.578199383,0.3015190092,2.526218723,0.303544989
2025-01-05,lI6fOOat,2.554503505,0.1617141327,2.589069603,0.1444523495,2.636676687,0.1818677505,2.437764226,0.2011657932
2025-01-12,jNyZsXZe,3.915348651,0.2230550401,3.881915339,0.2202140936,4.189410128,0.2274220621,3.674720487,0.2332502491
2025-01-12,vyhksgUB,3.500379597,0.1403358972,3.621433999,0.1344653239,3.448834714,0.1490858091,3.430870078,0.1558582887
2025-01-12,f5BXmEH6,3.308041204,0.2091833587,3.363878807,0.2053389708,3.223203088,0.215982687,3.337041716,0.2191949503
2025-01-12,UDzElXdm,2.860488479,0.3583237468,2.875733387,0.3595686995,2.826441086,0.36181091,2.879290964,0.360870803
2025-01-12,lI6fOOat,2.65473842,0.1580426663,2.689100112,0.1402263965,2.73730256,0.178654539,2.537812587,0.1982587055
2025-01-12,KdojxrAR,2.327445461,0.1338735091,2.479061194,0.1275526259,2.277678954,0.1452750364,2.225596233,0.1495348157
2025-01-19,jNyZsXZe,3.934919866,0.1698813596,3.901670723,0.1656535308,4.209014874,0.1758673685,3.694074002,0.1832163284
2025-01-19,vyhksgUB,3.658263863,0.1312553952,3.779449241,0.1249453654,3.606842044,0.1405780412,3.588500304,0.1477401785
2025-01-19,f5BXmEH6,3.488793358,0.1480346328,3.544771351,0.1422702944,3.403920947,0.1576283074,3.517687775,0.1619909981
2025-01-19,UDzElXdm,2.817241947,0.1518809461,2.83393861,0.1475454707,2.783039334,0.1604348772,2.834747896,0.1640402233
2025-01-19,lI6fOOat,2.744194653,0.1464904033,2.778597444,0.12696251,2.826852268,0.1685684386,2.627134246,0.1892032595
2025-01-19,KdojxrAR,2.456397148,0.1338375622,2.60801356,0.1274802929,2.406746902,0.1452599373,2.354430982,0.1495142663
2025-01-26,jNyZsXZe,4.124155199,0.1420458697,4.091486251,0.1367032614,4.397860232,0.1493087907,3.883119115,0.1578277208
2025-01-26,vyhksgUB,3.627871891,0.1258095705,3.74933227,0.1192059874,3.576250823,0.1355115563,3.558032581,0.1429243038
2025-01-26,f5BXmEH6,3.527722805,0.1518733547,3.583872782,0.1462188508,3.442774648,0.1612615286,3.556520983,0.1655205735
2025-01-26,UDzElXdm,2.837546763,0.1667469214,2.854610604,0.1627801088,2.803195712,0.1745781251,2.854833971,0.1779137643
2025-01-26,lI6fOOat,2.748896437,0.1621267133,2.78425801,0.1447113178,2.830767844,0.1823266654,2.631663458,0.2015555489
2025-01-26,KdojxrAR,2.475768485,0.1513779811,2.627583818,0.1457815233,2.42610243,0.1615673025,2.373619207,0.1654033033
2025-02-02,jNyZsXZe,4.096441292,0.1574930511,4.063098604,0.1526719108,4.370729419,0.1640867993,3.855495852,0.1718664939
2025-02-02,vyhksgUB,3.610049671,0.1443462733,3.730865561,0.1386214517,3.558941564,0.1528814636,3.540341888,0.1594848849
2025-02-02,f5BXmEH6,3.497479593,0.1669273056,3.55292276,0.1617919644,3.413211181,0.1755161396,3.526304838,0.1794358153
2025-02-02,UDzElXdm,2.840038702,0.1800532178,2.856744105,0.1763500978,2.806213633,0.1873352215,2.857158368,0.1904677912
2025-02-02,lI6fOOat,2.733501013,0.1766214869,2.7667674,0.1607667564,2.817247181,0.1953380892,2.616488458,0.2133911429
2025-02-02,KdojxrAR,2.464925357,0.1666601031,2.616021526,0.1615875065,2.415813281,0.1759682542,2.362941264,0.1794989455
2025-02-09,jNyZsXZe,4.073656555,0.1723290407,4.040366582,0.167923977,4.347857066,0.1783802671,3.832746016,0.1855611634
2025-02-09,vyhksgUB,3.595075172,0.1606175545,3.715849389,0.1554893015,3.543982513,0.1683323769,3.525393615,0.1743496204
2025-02-09,f5BXmEH6,3.48793951,0.1803105964,3.543397587,0.1755622773,3.403649954,0.1882932397,3.516770988,0.1919500742
2025-02-09,UDzElXdm,2.788732442,0.1393892795,2.805331768,0.1338855932,2.754901686,0.1487273545,2.805963872,0.1531547678
2025-02-09,lI6fOOat,2.571634472,0.1669986927,2.604771918,0.150075553,2.655396431,0.186713613,2.454735065,0.2055094913
2025-02-09,KdojxrAR,2.446451926,0.1809397014,2.597525982,0.1762755177,2.397361458,0.1895486186,2.344468337,0.1928320684
2025-02-16,jNyZsXZe,3.646419838,0.1322060531,3.612723201,0.1262636402,3.92087466,0.1400907157,3.405661653,0.1490852059
2025-02-16,vyhksgUB,3.462279089,0.1577300968,3.582978175,0.1525023407,3.411271233,0.1655811856,3.392587859,0.1716937895
2025-02-16,f5BXmEH6,3.392429547,0.1695614869,3.4477581,0.1644714045,3.308215224,0.1780430174,3.421315317,0.1819029329
2025-02-16,UDzElXdm,2.859868243,0.130713603,2.876808298,0.1246015216,2.826065895,0.1406439793,2.876730535,0.145482336
2025-02-16,lI6fOOat,2.541234297,0.1674084725,2.573796118,0.1505141495,2.625329895,0.187088809,2.424576878,0.2058472956
2025-02-16,KdojxrAR,2.29985203,0.1425259962,2.450803535,0.1365310886,2.250805727,0.153316714,2.197946828,0.1573614771
2025-02-23,jNyZsXZe,3.590146504,0.1282935447,3.556584834,0.1221191532,3.864410601,0.1364298951,3.349444077,0.1456380695
2025-02-23,vyhksgUB,3.356714655,0.1444882958,3.477577149,0.1387546743,3.305522234,0.1530252202,3.287044582,0.159616725
2025-02-23,f5BXmEH6,3.230084768,0.163085129,3.285571418,0.1577626553,3.145827454,0.1718990869,3.258855433,0.1758903204
2025-02-23,UDzElXdm,2.743216208,0.1216412761,2.760030435,0.1148870002,2.70930594,0.1322676489,2.760312249,0.1375106477
2025-02-23,lI6fOOat,2.500883656,0.1340911586,2.533844948,0.1122402349,2.58456809,0.1580007364,2.384237929,0.1798113943
2025-02-23,KdojxrAR,2.348926593,0.1387111394,2.500093916,0.1325337594,2.299703317,0.149780172,2.246982546,0.153920171
2025-03-02,jNyZsXZe,3.595936969,0.1467301508,3.562375054,0.1413600277,3.870189392,0.1538966404,3.35524646,0.1621151251
2025-03-02,vyhksgUB,3.350204531,0.1611887939,3.471047332,0.1560676517,3.299030656,0.1688851448,3.280535605,0.1748789326
2025-03-02,f5BXmEH6,3.235964682,0.1767838376,3.291467701,0.1718824855,3.151718808,0.1849483839,3.264707538,0.1886625197
2025-03-02,UDzElXdm,2.748596441,0.1407300131,2.765404966,0.1349276487,2.714700817,0.1500119499,2.765683539,0.1546572436
2025-03-02,lI6fOOat,2.511744102,0.1515207414,2.544643927,0.1325673772,2.595526905,0.1730426465,2.395061473,0.1931595787
2025-03-02,KdojxrAR,2.450276926,0.1189732603,2.601450158,0.1116863568,2.400953782,0.1317260511,2.348426837,0.1364062911
2025-03-09,jNyZsXZe,3.589218159,0.1376695546,3.555426452,0.131909597,3.863682814,0.1452970152,3.348545212,0.1539683904
2025-03-09,vyhksgUB,3.163428003,0.1543047384,3.284068471,0.1489415199,3.112426995,0.1623312977,3.093788541,0.1685564493
2025-03-09,f5BXmEH6,3.069554843,0.164113035,3.124769707,0.1588024609,2.985520092,0.1728861344,3.09837473,0.1768526793
